"Par","Precio de Apertura","Precio Máximo","Precio Mínimo","Precio de Cierre","Volumen","Número de Operaciones","Variación Porcentual","Timestamp","Orden"
"BTCUSDT","117879.22000000","117904.75000000","117700.65000000","117759.99000000","150.55904000","29111","-0.10114590%","13-07-2025 02:00:00","115"
"BTCUSDT","117753.59000000","117892.23000000","117684.22000000","117879.22000000","222.50112000","28716","0.10668889%","13-07-2025 01:00:00","116"
"BTCUSDT","117620.00000000","117824.76000000","117600.81000000","117753.60000000","138.03288000","27424","0.11358612%","13-07-2025 00:00:00","117"
"BTCUSDT","117553.37000000","117817.16000000","117407.94000000","117620.00000000","158.66130000","36993","0.05668064%","12-07-2025 23:00:00","118"
"BTCUSDT","117316.10000000","117640.61000000","117224.79000000","117553.37000000","236.13001000","53833","0.20224846%","12-07-2025 22:00:00","119"
"BTCUSDT","117420.00000000","117458.48000000","117248.21000000","117316.10000000","163.58729000","45465","-0.08848578%","12-07-2025 21:00:00","120"
"BTCUSDT","117385.38000000","117460.02000000","117219.53000000","117420.00000000","117.07289000","30758","0.02949260%","12-07-2025 20:00:00","121"
"BTCUSDT","117485.21000000","117563.75000000","117312.04000000","117385.37000000","233.15011000","43172","-0.08498091%","12-07-2025 19:00:00","122"
"BTCUSDT","117023.36000000","117555.50000000","117000.01000000","117485.22000000","207.04733000","55798","0.39467334%","12-07-2025 18:00:00","123"
"BTCUSDT","117550.96000000","117550.96000000","117023.35000000","117023.36000000","154.52026000","38325","-0.44882662%","12-07-2025 17:00:00","124"
"BTCUSDT","117504.01000000","117639.98000000","117439.72000000","117550.96000000","307.81770000","36861","0.03995608%","12-07-2025 16:00:00","125"
"BTCUSDT","117478.40000000","117509.76000000","117378.91000000","117504.00000000","161.72998000","33848","0.02179124%","12-07-2025 15:00:00","126"
"BTCUSDT","117191.08000000","117548.69000000","117186.81000000","117478.40000000","209.00655000","48150","0.24517224%","12-07-2025 14:00:00","127"
"BTCUSDT","117100.00000000","117399.77000000","117045.86000000","117191.08000000","282.98905000","54528","0.07777968%","12-07-2025 13:00:00","128"
"BTCUSDT","117389.47000000","117461.62000000","116900.05000000","117100.01000000","782.91296000","138108","-0.24658089%","12-07-2025 12:00:00","129"
"BTCUSDT","117500.00000000","117727.26000000","117315.68000000","117389.47000000","449.96682000","72558","-0.09406809%","12-07-2025 11:00:00","130"
"BTCUSDT","117559.98000000","117571.61000000","117238.88000000","117500.00000000","758.24496000","102365","-0.05102076%","12-07-2025 10:00:00","131"
"BTCUSDT","117810.00000000","117861.19000000","117309.61000000","117559.97000000","896.26553000","122064","-0.21223156%","12-07-2025 09:00:00","132"
"BTCUSDT","118077.32000000","118106.20000000","117625.00000000","117810.00000000","299.38516000","67485","-0.22639403%","12-07-2025 08:00:00","133"
"BTCUSDT","118158.79000000","118158.79000000","117870.31000000","118077.32000000","360.52166000","61789","-0.06894959%","12-07-2025 07:00:00","134"
"BTCUSDT","117929.66000000","118200.00000000","117881.15000000","118158.78000000","372.57837000","55443","0.19428531%","12-07-2025 06:00:00","135"
"BTCUSDT","117731.99000000","118000.00000000","117724.47000000","117929.65000000","426.87947000","43286","0.16788980%","12-07-2025 05:00:00","136"
"BTCUSDT","117847.66000000","118054.79000000","117625.63000000","117731.99000000","389.30318000","62310","-0.09815214%","12-07-2025 04:00:00","137"
